"Question","GoodAnswer","WrongAnswer1","WrongAnswer2","WrongAnswer3"
"Dans quel océan se trouve le fameux triangle des Bermudes?","Atlantique","Pacifique","Indien","Glacial Arctique"
"Combien il y a-t-il de couleurs primaires?","3","2","4","6"
"Quel cap situé à l'extrême sud de l'Amérique, est un passage redouté des navigateurs?","Le Cap Horn","Le Cap Vert","Le Cap de Bonne Espérance","Le Cap Nord"
"Quel scientifique est associé à l'image d'une pomme qui lui tombe sur la tête?","Newton","Archimède","Thalès","Pythagore"
"Dans quel pays parle-t-on le basque, le catalan, le galicien ou le valencien?","Espagne","Pays-Bas","Allemagne","Norvège"
"Quel animal est le symbole de l'ancien champion de tennis René Lacoste?",Le crocodile,Le panda,Le jaguar,Le puma
"Sur 250 marins partis 1519 avec Magellan, combien rentrent à Séville, 3 ans plus tard?",18,115,249,60
"Combien contient de calcium en moyenne un corps d'un homme adulte au total?",1 kg,3 kg,5 kg,10 kg
"Dans quel pays se trouvent les villes Madras et Moumbai?","l'Inde","la Chine","La Thaïlande","Le Mali"
"Quelle mer baigne les ports de Marseille, de Valence ou de Monaco?","La Mer Méditerranée","La Mer Rouge","La Mer Atlantique","La Mer Baltique"
"De quelle couleur devient Hulk lorsqu'il se met en colère?","Verte","Rouge","Orange","Violète"
"Quel jour fête-t-on Halloween?","Le 31 Octobre","Le 7 Novembre","Le 15 Octobre","Le 5 Septembre"
"Quelle ville a acceulli les Jeux Olympiques en 2012?","Londres","Pékin","Rio","Athènes"
"Combien de traveaux Hercule a-t-il dû exécuter dans la mythologie romaine?","12","10","8","13"
"Quelle céréale fait-on éclater pour avoir du pop-corn?","du maïs","du blé","du sarrasin","de l'avoine"
"De quelle couleur sont les célébres Schtroumpfs?","Bleue","Violète","Rouge","Jaune"
"Sous quel nom Don Cristobal Colon est-il resté dans les livres de l'histoire?","Christophe Colomb","Vasco Da Gama","Amerigo Vespucci","James Coock"
"De quoi étaient faits les couronnes des vainqueurs des Jeux Olympiques d'Antiquité?","d'olivier","de lauriers","de chêne","de menthe"
"Quel chat, la souris Jerry passe-t-elle son temps à ridiculiser dans les dessins animés?",Tom,"Bill","Jack","Bob"
"De quelle couleur est Falsh McQueen, la splendide voiture de course de Cars?","Rouge","Verte","Jaune","Bleue"
"Quel est le plus petit état (hors Vatican)?","Monaco","Malte","Fiji","Andorre"
"Que veut dire «inlandsis» au Goënland?","la glace qui recouvre l'île","une langue locale","le traîneau à chiens","le peuple que y vit."
"Dans quell ville Américaine, célèbre pour ces casinos, peut-on dormir dans un hotel de plus de 5.000 chambres?","Las Vegas","Chicago","Washington","New York"
"Quelle est la longueur de la grande Muraille de Chine?","6 500 km","2 500 km","4 000 km","5 000 km"
"Quel insecte a un goût si désagréable, que les oiseaux le mangent pas?","La coccinelle","L'abeille","Le cafard","Le ver"
"Comment s'appelle l'art du pliage du papier au Japon?","l'origami","le kabuki","l'ikebana","le sanuka"
"Dans quel pays se trouvent les plus gros consomatteurs de fromage du monde?","La Grèce","La France","La Suisse","L'Italie"
"Pour Texas et quel autre pays, le fleuve Rio Grande, sert-il de frontière?","La Mexique","Le Canada","Le Honduras","La Colombie"
"Quel club anglais de football surnomme-t-on les «Reds»?","Liverpool","Manchester United","New Castle","Manchester City"
"Que signifie «igloo» dans la langue des inuites?","maison","abri","construction","domaine"
"Quelle pièce cherche-t-on à abbatre lorsqu'on joue aux échecs?","Le Roi","La Reine","La Tour","Le cavalier"
"Quel pays est traversé par le Rhin, le Danube et l'Elbe?","l'Allemagne","la France","l'Italie","la Suisse"
"Dans quel pays les habitants lisent-ils le plus de journaux au monde?","au Japon","en France","en Angleterre","aux Etats-Unis d'Amérique"
"Dans quel club Zinedine Zidane a-t-il mis fin à sa carrière?","Real Madrid","PSG","OM","F.C. Barcelone"
"Quelle ville a acceulli les Jeux Olympiques en 2008?","Pékin","Londres","Rio","Athènes"
"Qu'est-ce qu'il y a au centre du drapeu Argentin?","un soleil","un mouton","un cheval","un chien"
"Quel pays a pour capitale Taipei?","le Taïwan","le Laos","la Birmanie","la Thailande"
"Où se trouvait la centrale de Tchernobyl?","en Ukraine","en Serbie","en Bielorussie","en Moldavie"
"De quel pays, Ottawa est-ell la capitale?","le Canada","l'Australie","le Brésil","l'Argentine"
"Quelle feuille est au centre du drapeau canadien?","d'érable","de chêne","da lauriers","d'olivier"
"Quel pays a vendu la Louisiane aux Etats-Unis d'Amérique?","la France","le Canada","le Mexique","le Cuba"
"Qu'est-ce qui prermet à la chauve-souris de s'orienter la nuit?","ses oreilles","ses yeux","son nez","ses moustaches"
"Quelle couleur représent l'Océanie sur le drapeau olympique?","Verte","Bleue","Noire","Rouge"
"Combien y a-t-il de barres sur un baby-foot?","8","6","4","10"
"Quelle est la capitale d'Allemagne?","Berlin","Munich","Franckfort","Dortmund"
"Quelle planète est surnommée «la planète rouge»?","Mars","Jupitère","Saturn","Mercure"
"Quel fleuve a le plus fort débit au monde?","l'Amazone","le Danube","le Nil","le Rhin"
"Combien de doight possède un cheval au total?","4","12","16","20"
"Où se trouve la capitale la plus haute du monde?","en Bolivie","au Pérou","en Equateur","en Ouzbéquistan"
"De quelle vile Hollywood est-il un célèbre quartier?","Los Angeles","Las Vegas","San Francisco","New York"
"A partir de quelle céréale fabriqe-t-on les pâtes en Italie?","du blé","du sarrasin","du riz","de l'avoine"
"Quel est le nom du clown, emblème de Mc Donald?","Ronald","Donald","Bob","Clowny"
"Qu'avait dessiné Léonard de Vinci?","le parachute","le ski nautique","le trampoline","une trotinette"
"De quelle couleur est Stich, le copain de Lilo?","Bleue","Verte","Violète","Jaune"
"Quelle est la technique de nage la plus rapide en compétition?","le crawl","la brasse","le dos","le papillon"
"Qui a composé «Lettre à Elise»?","Bethoven","Mozart","Bach","Chopin"
"Quelle est la contenance d'un baril de petrole?","159 L","99 L","129 L","189 L"
"Sur combien de cases se déplacent les joueurs sur le plateau de Monopoly?","40","32","64","52"
"Quel fut le premier pays envahi lors de la Seconde Guerre mondiale?","la Pologne","l'Autriche","le Danemark","la Belgique"
"Que mesure le décibel?","la hauteur du son","le volume du son","la distance jusqu'à l'émmeteur du son","le dommage du son à l'oreille de l'homme"
"Quelle est la langue que l'on parle au Pérou?","l'espagnol","le portugais","l'anglais","le pérouais"
"De quelle famille d'animaux, la tortue en fait-elle partie?","reptiles","amphibiens","poissons","oiseaux"
"Dans quel pays peut-on visiter Istanbul ou Ankara?","la Turquie","la Tunisie","La Hongrie","La Géorgie"
"Dans quelle ville, les stars du cinéma montent-elle chaque année les marches du palais des festivals?","Cannes","Nice","Marseille","Monaco"
"Quelle est la plus petite planète du système solaire?","Mercure","Pluton","Mars","Terre"
"Qui est la premier européen à avoir navigué dans l'océan Pacifique?","Ferdinand Magellan","Vasco da Gama","Amerigo Vespucci","Christophe Colomb"
"Quel fleuve séparait les anciennes villes de Buda et de Pest?","le Danube","le Rhin","le Rhône","l'Elbe"
"Combien y a-t-il d'étoiles sur le drapeau américain?","50","60","64","46"
"Quel étage est souvent oublié dans les ascenseurs de Corée du Sud parce qu'il est réputé de porter malheur?","le 4ème","le 13ème","le 666ème","le 7ème"
"Quel est le prénom du savant Copernic?","Nicolas","Paul","Blaise","Alexandre"
"Quelle est la principale production de l'Arabie Saoudite?","le pétrole","l'or","les métaux rares","l'argent"
"De quelle île, paradis des surfeurs, Honolulu en est-elle la capitale?","Hawaï","Polynésie","Bali","Indonésie"
"Avec quelle race de chiens rapides, organise-t-on des courses?","les lévriers","les bergers","les labradors","les husky"
"Dans quel pays peut-on admirer des robes virevolantes des danseuses de flamenco?","l'Espagne","le Portugal","l'Argentine","le Brésil"
"Quelle est la capitale de l'Espagne?","Madrid","Tolède","Barcelone","Valence"
"Quel état américain a été vendu aux Etats-Unis d'Amérique par Alexandre II?","l'Alaska","le Texas","la Floride","le Washington"
"Quel est le premier niveau de Geometry Dash","Stereo Madness","ReTraY","Back on Track","Polargeist"
"Quel est le plus long fleuve d'Afrique?","Le Nil","Le Congo","Le Niger","Le Zambèze"
"Quelle planète du système solaire est la plus proche du Soleil?","Mercure","Vénus","Terre","Mars"
"En quelle année a eu lieu la chute du mur de Berlin?","1989","1991","1987","1990"
"Quel est le nom de la capitale de l'Australie?","Canberra","Sydney","Melbourne","Brisbane"
"Quel est l'ingrédient principal du houmous?","Pois chiches","Lentilles","Haricots","Pois cassés"
"Qui a peint la «Joconde»?","Léonard de Vinci","Michel-Ange","Raphaël","Caravage"
"Quel animal est le symbole national de la Chine?","Le panda","Le dragon","Le tigre","Le serpent"
"Quelle ville est surnommée «La Grosse Pomme»?","New York","Chicago","Los Angeles","San Francisco"
"Combien de jours dure une année bissextile?","366","365","364","368"
"Quel est le plus grand océan de la planète?","Pacifique","Atlantique","Indien","Arctique"
"Quelle est la langue officielle du Brésil?","Le portugais","L'espagnol","Le brésilien","L'anglais"
"Quel compositeur a écrit «Le Lac des cygnes»?","Tchaïkovski","Beethoven","Mozart","Bach"
"Dans quel pays se trouve la ville de Marrakech?","Maroc","Tunisie","Algérie","Égypte"
"Quelle est la monnaie officielle du Japon?","Le yen","Le won","Le yuan","Le ringgit"
