"Питання","ПравильнаВідповідь","ПоганаВідповідь1","ПоганаВідповідь2","ПоганаВідповідь3"
"В якому океані знаходиться знаменитий Бермудський трикутник?","Атлантичний","Тихий","Індійський","Північний Льодовитий"
"Скільки існує основних кольорів?","3","2","4","6"
"Який мис на півдні Америки є небезпечним для мореплавців?","Мис Горн","Кабо Верде","Мис Доброї Надії","Мис Нордкап"
"Який вчений відомий тим, що на нього впало яблуко?","Ньютон","Архімед","Фалес","Піфагор"
"В якій країні говорять баскською, каталонською, галісійською та валенсійською мовами?","Іспанія","Нідерланди","Німеччина","Норвегія"
"Яка тварина є символом відомого тенісиста Рене Лакоста?","Крокодил","Панда","Ягуар","Пума"
"З 250 моряків, які вирушили в 1519 році з Магелланом, скільки повернулися до Севільї через 3 роки?","18","115","249","60"
"Скільки в середньому кальцію міститься в організмі дорослої людини?","1 кг","3 кг","5 кг","10 кг"
"В якій країні знаходяться міста Мадрас і Мумбаї?","Індія","Китай","Таїланд","Малі"
"Яке море омиває порти Марселя, Валенсії та Монако?","Середземне море","Червоне море","Атлантичний океан","Балтійське море"
"Якого кольору стає Халк, коли злиться?","Зелений","Червоний","Помаранчевий","Фіолетовий"
"В який день святкують Хелловін?","31 жовтня","7 листопада","15 жовтня","5 вересня"
"Яке місто приймало Олімпійські ігри 2012 року?","Лондон","Пекін","Ріо-де-Жанейро","Афіни"
"Скільки подвигів мав здійснити Геракл у міфології?","12","10","8","13"
"З якого зерна виготовляють попкорн?","Кукурудза","Пшениця","Гречка","Вівсянка"
"Якого кольору знамениті Смурфи?","Синій","Фіолетовий","Червоний","Жовтий"
"Під яким ім'ям Дон Кристобаль Колом залишився в історії?","Христофор Колумб","Васко да Гама","Амеріго Веспуччі","Джеймс Кук"
"З чого були зроблені вінки переможців Олімпійських ігор в античності?","Оливкове дерево","Лавр","Дуб","М'ята"
"Якого кота мишеня Джеррі постійно дражнить у мультфільмах?","Том","Білл","Джек","Боб"
"Якого кольору гоночна машина Блискавка МакКвін з мультфільму Тачки?","Червоний","Зелений","Жовтий","Синій"
"Яка найменша держава (після Ватикану)?","Монако","Мальта","Фіджі","Андорра"
"Що означає «інландсіс» на Гренландії?","льодовик, що покриває острів","місцева мова","собача упряжка","місцеве населення"
"В якому американському місті, відомому своїми казино, можна переночувати в готелі з понад 5000 номерами?","Лас-Вегас","Чикаго","Вашингтон","Нью-Йорк"
"Яка довжина Великої Китайської стіни?","6500 км","2500 км","4000 км","5000 км"
"Яка комаха має такий неприємний смак, що птахи її не їдять?","Сонечко","Бджола","Тарган","Черв'як"
"Як називається мистецтво складання паперу в Японії?","Орігамі","Кабукі","Ікебана","Санука"
"В якій країні їдять найбільше сиру?","Франція","Греція","Швейцарія","Італія"
"Для Техасу і якої ще країни річка Ріо-Гранде служить кордоном?","Мексика","Канада","Гондурас","Колумбія"
"Який англійський футбольний клуб називають «Редс»?","Ліверпуль","Манчестер Юнайтед","Ньюкасл","Манчестер Сіті"
"Що означає слово «іглу» мовою інуїтів?","дім","укриття","споруда","володіння"
"Яку фігуру намагаються збити в шахах?","Король","Ферзь","Тура","Кінь"
"Через яку країну протікають Рейн, Дунай і Ельба?","Німеччина","Франція","Італія","Швейцарія"
"В якій країні жителі читають найбільше газет?","Японія","Франція","Англія","США"
"В якому клубі Зінедін Зідан завершив свою кар'єру?","Реал Мадрид","ПСЖ","ОМ","Барселона"
"Яке місто приймало Олімпійські ігри в 2008 році?","Пекін","Лондон","Ріо-де-Жанейро","Афіни"
"Що зображено в центрі прапора Аргентини?","Сонце","Вівця","Кінь","Собака"
"Яка держава має столицю Тайбей?","Тайвань","Лаос","Бірма","Таїланд"
"Де знаходилася Чорнобильська АЕС?","Україна","Сербія","Білорусь","Молдова"
"Столицею якої країни є Оттава?","Канада","Австралія","Бразилія","Аргентина"
"Який лист зображений на прапорі Канади?","Клен","Дуб","Лавр","Олива"
