"Question","GoodAnswer","WrongAnswer1","WrongAnswer2","WrongAnswer3","Image"
"В каком океане находится знаменитый Бермудский треугольник?","Атлантический","Тихий","Индийский","Северный Ледовитый"
"Сколько существует основных цветов?","3","2","4","6"
"Какой мыс на юге Америки является опасным для мореплавателей?","Мыс Горн","Кабо Верде","Мыс Доброй Надежды","Мыс Нордкап"
"Какой учёный известен тем, что на него упало яблоко?","Ньютон","Архимед","Фалес","Пифагор"
"В какой стране говорят на баскском, каталанском, галисийском и валенсийском языках?","Испания","Нидерланды","Германия","Норвегия"
"Какое животное является символом известного теннисиста Рене Лакоста?","Крокодил","Панда","Ягуар","Пума"
"Из 250 моряков, отправившихся в 1519 году с Магелланом, сколько вернулись в Севилью через 3 года?","18","115","249","60"
"Сколько в среднем кальция содержится в организме взрослого человека?","1 кг","3 кг","5 кг","10 кг"
"В какой стране находятся города Мадрас и Мумбаи?","Индия","Китай","Таиланд","Мали"
"Какое море омывает порты Марселя, Валенсии и Монако?","Средиземное море","Красное море","Атлантический океан","Балтийское море"
"Какого цвета становится Халк, когда злится?","Зелёный","Красный","Оранжевый","Фиолетовый"
"В какой день отмечают Хэллоуин?","31 октября","7 ноября","15 октября","5 сентября"
"Какой город принимал Олимпийские игры в 2012 году?","Лондон","Пекин","Рио-де-Жанейро","Афины"
"Сколько подвигов должен был совершить Геракл в мифологии?","12","10","8","13"
"Из какого злака делают попкорн?","Кукуруза","Пшеница","Гречка","Овёс"
"Какого цвета знаменитые Смурфы?","Синий","Фиолетовый","Красный","Жёлтый"
"Под каким именем Дон Кристобаль Колом остался в истории?","Кристофор Колумб","Васко да Гама","Америго Веспуччи","Джеймс Кук"
"Из чего были сделаны венки победителей Олимпийских игр в античности?","Оливковое дерево","Лавр","Дуб","Мята"
"Какого кота мышонок Джерри постоянно дразнит в мультфильмах?","Том","Билл","Джек","Боб"
"Какого цвета гоночная машина Молния МакКуин из мультфильма Тачки?","Красный","Зелёный","Жёлтый","Синий"
"Какое самое маленькое государство (после Ватикана)?","Монако","Мальта","Фиджи","Андорра"
"Что означает «инландсис» на Гренландии?",,"ледник, покрывающий остров""местный язык","собачья упряжка","местное население"
"В каком американском городе, знаменитом своими казино, можно переночевать в отеле с более чем 5000 номерами?","Лас-Вегас","Чикаго","Вашингтон","Нью-Йорк"
"Какова протяжённость Великой Китайской стены?","6500 км","2500 км","4000 км","5000 км"
"Какое насекомое имеет такой неприятный вкус, что птицы его не едят?","Божья коровка","Пчела","Таракан","Червь"
"Как называется искусство складывания бумаги в Японии?","Оригами","Кабуки","Икебана","Санука"
"В какой стране едят больше всего сыра?","Греция","Франция","Швейцария","Италия"
"Для Техаса и какой другой страны река Рио-Гранде служит границей?","Мексика","Канада","Гондурас","Колумбия"
"Какой английский футбольный клуб называют 'Редс'?","Ливерпуль","Манчестер Юнайтед","Ньюкасл","Манчестер Сити"
"Что означает слово «иглу» на языке инуитов?","дом","укрытие","сооружение","владение"
"Какую фигуру пытаются сбить в шахматах?","Король","Ферзь","Ладья","Конь"
"Через какую страну протекают Рейн, Дунай и Эльба?","Германия","Франция","Италия","Швейцария"
"В какой стране жители читают больше всего газет?","Япония","Франция","Англия","США"
"В каком клубе Зинедин Зидан завершил свою карьеру?","Реал Мадрид","ПСЖ","ОМ","Барселона"
"Какой город принимал Олимпийские игры в 2008 году?","Пекин","Лондон","Рио-де-Жанейро","Афины"
"Что изображено в центре флага Аргентины?","Солнце","Овца","Лошадь","Собака"
"Какое государство имеет столицу Тайбэй?","Тайвань","Лаос","Бирма","Таиланд"
"Где находилась чернобыльская АЭС?","Украина","Сербия","Беларусь","Молдавия"
"Столицей какой страны является Оттава?","Канада","Австралия","Бразилия","Аргентина"
"Какой лист изображён на флаге Канады?","Клён","Дуб","Лавр","Олива"
"Какая страна продала Луизиану США?","Франция","Канада","Мексика","Куба"
"Что помогает летучей мыши ориентироваться в темноте?","Уши","Глаза","Нос","Усы"
"Какой цвет представляет Океанию на олимпийском флаге?","Зелёный","Синий","Чёрный","Красный"
"Сколько рычагов на футбольном столе (настольный футбол)?","8","6","4","10"
"Какая столица Германии?","Берлин","Мюнхен","Франкфурт","Дортмунд"
"Какая планета известна как «Красная планета»?","Марс","Юпитер","Сатурн","Меркурий"
"Какая река имеет самый мощный поток в мире?","Амазонка","Дунай","Нил","Рейн"
"Сколько пальцев у лошади?","4","12","16","20"
