"Question","GoodAnswer","WrongAnswer1","WrongAnswer2","WrongAnswer3","Image"
"In which ocean is the famous Bermuda Triangle located?","Atlantic","Pacific","Indian","Arctic Glacial"
"How many primary colors are there?","3","2","4","6"
"Which cape, located at the extreme south of America, is a feared passage for navigators?","Cape Horn","Cape Verde","Cape of Good Hope","Cape North"
"Which scientist is associated with the image of an apple falling on his head?","Newton","Archimedes","Thales","Pythagoras"
"In which country are Basque, Catalan, Galician, and Valencian spoken?","Spain","Netherlands","Germany","Norway"
"What animal is the symbol of the former tennis champion René Lacoste?","The crocodile","The panda","The jaguar","The puma"
"Out of 250 sailors who left in 1519 with Magellan, how many returned to Seville 3 years later?","18","115","249","60"
"How much calcium is there on average in an adult human body in total?","1 kg","3 kg","5 kg","10 kg"
"In which country are the cities Madras and Mumbai located?","India","China","Thailand","Mali"
"Which sea bathes the ports of Marseille, Valencia, or Monaco?","The Mediterranean Sea","The Red Sea","The Atlantic Sea","The Baltic Sea"
"What color does Hulk turn when he gets angry?","Green","Red","Orange","Violet"
"On what day do we celebrate Halloween?","October 31","November 7","October 15","September 5"
"Which city hosted the Olympic Games in 2012?","London","Beijing","Rio","Athens"
"How many labors did Hercules have to perform in Roman mythology?","12","10","8","13"
"What cereal is popped to make popcorn?","Corn","Wheat","Buckwheat","Oats"
"What color are the famous Smurfs?","Blue","Violet","Red","Yellow"
"Under what name is Don Cristobal Colon known in history books?","Christopher Columbus","Vasco Da Gama","Amerigo Vespucci","James Cook"
"What were the winners' crowns made of in the ancient Olympic Games?","Olive","Laurel","Oak","Mint"
"What cat does the mouse Jerry spend his time ridiculing in cartoons?","Tom","Bill","Jack","Bob"
"What color is Flash McQueen, the splendid racing car from Cars?","Red","Green","Yellow","Blue"
"What is the smallest state (excluding the Vatican)?","Monaco","Malta","Fiji","Andorra"
"What does «inlandsis» mean in Greenland?","A local language","The ice covering the island","The dog sled","The people living there."
"In which American city, famous for its casinos, can you sleep in a hotel with more than 5,000 rooms?","Las Vegas","Chicago","Washington","New York"
"What is the length of the Great Wall of China?","6,500 km","2,500 km","4,000 km","5,000 km"
"What insect has such an unpleasant taste that birds do not eat it?","The ladybug","The bee","The cockroach","The worm"
"What is the art of paper folding called in Japan?","Origami","Kabuki","Ikebana","Sanuka"
"In which country are the biggest cheese consumers in the world?","Greece","France","Switzerland","Italy"
"For Texas and which other country does the Rio Grande river serve as a border?","Mexico","Canada","Honduras","Colombia"
"Which English football club is nicknamed the «Reds»?","Liverpool","Manchester United","Newcastle","Manchester City"
"What does «igloo» mean in the Inuit language?","House","Shelter","Construction","Domain"
"What piece is targeted for capture in chess?","The King","The Queen","The Rook","The Knight"
"Which country is crossed by the Rhine, the Danube, and the Elbe?","Germany","France","Italy","Switzerland"
"In which country do the inhabitants read the most newspapers in the world?","Japan","France","England","The United States of America"
"In which club did Zinedine Zidane end his career?","Real Madrid","PSG","OM","FC Barcelona"
"Which city hosted the Olympic Games in 2008?","Beijing","London","Rio","Athens"
"What is in the center of the Argentine flag?","A sun","A sheep","A horse","A dog"
"Which country has Taipei as its capital?","Taiwan","Laos","Myanmar","Thailand"
"Where was the Chernobyl nuclear plant located?","In Ukraine","In Serbia","In Belarus","In Moldova"
"Which country is Ottawa the capital of?","Canada","Australia","Brazil","Argentina"
"What leaf is in the center of the Canadian flag?","Maple","Oak","Laurel","Olive"
"Which country sold Louisiana to the United States of America?","France","Canada","Mexico","Cuba"
"What allows a bat to orient itself at night?","Its ears","Its eyes","Its nose","Its whiskers"
"What color represents Oceania on the Olympic flag?","Green","Blue","Black","Red"
"How many bars are on a foosball table?","8","6","4","10"
"What is the capital of Germany?","Berlin","Munich","Frankfurt","Dortmund"
"Which planet is nicknamed the «Red Planet»?","Mars","Jupiter","Saturn","Mercury"
"Which river has the highest flow rate in the world?","The Amazon","The Danube","The Nile","The Rhine"
"How many toes does a horse have in total?","4","12","16","20"
